selfUrl,id,name,title,publisher,date
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.3414,2.16.840.1.114222.4.11.3414,PHVS_BirthAttendees_NETSS,Birth Attendees (NETSS),CDC PHIN Vocab and Msg (PHINVS@cdc.gov),2011-01-06
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.7918,2.16.840.1.114222.4.11.7918,PHVS_CPOASTMethod_ARLN,CPO AST method (ARLN),"APHL (Association of Public Health Laboratories 8515 Georgia Avenue, Suite 700 Silver Spring, MD 20910 p: 240.485.2745 f: 240.485.2700 e: info@aphl.org v1.v2.11111 )",2019-10-16
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.7536,2.16.840.1.114222.4.11.7536,PHVS_HeightUnit_CDC,Height Unit (CDC),CDC NNDSS (https://www.cdc.gov/nndss/contact.html),2016-08-24
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.7328,2.16.840.1.114222.4.11.7328,PHVS_ApgarScore1Min_NCHS,1 Min Apgar Score (NCHS),"CDC NCHS (National Center for Health Statistics 3311 Toledo Road Hyattsville, Maryland 20782. Toll Free Data Inquiries 1-866-441-NCHS)",2015-05-07
https://phinvads.cdc.gov/baseStu3/ValueSet/1.3.6.1.4.1.19376.1.7.3.1.1.13.8.13,1.3.6.1.4.1.19376.1.7.3.1.1.13.8.13,PHVS_ApgarScore10Min_NCHS,10 Min Apgar Score (NCHS),"CDC NCHS (National Center for Health Statistics 3311 Toledo Road Hyattsville, Maryland 20782. Toll Free Data Inquiries 1-866-441-NCHS)",2014-09-24
https://phinvads.cdc.gov/baseStu3/ValueSet/1.3.6.1.4.1.19376.1.7.3.1.1.13.8.12,1.3.6.1.4.1.19376.1.7.3.1.1.13.8.12,PHVS_ApgarScore5Min_NCHS,5 Min Apgar Score (NCHS),"CDC NCHS (National Center for Health Statistics 3311 Toledo Road Hyattsville, Maryland 20782. Toll Free Data Inquiries 1-866-441-NCHS)",2014-09-24
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.7257,2.16.840.1.114222.4.11.7257,PHVS_AbdominalPain_CDS_EHR,Abdominal Pain (CDS - EHR),CDC PHIN Vocab and Msg (PHINVS@cdc.gov),2015-02-03
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.1060,2.16.840.1.114222.4.11.1060,PHVS_XRayBasedPatientCondition_NND,Abnormal Chest X-ray Condition Status,CDC PHIN Vocab and Msg (PHINVS@cdc.gov),2008-10-22
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.957,2.16.840.1.114222.4.11.957,PHVS_AbnormalChestXRayFinding_TB,Abnormal Chest X-Ray Finding (TB),CDC PHIN Vocab and Msg (PHINVS@cdc.gov),2008-10-22
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.3343,2.16.840.1.114222.4.11.3343,PHVS_AbnormalFlag_HL7_27,Abnormal Flag (HL7 27),CDC PHIN Vocab and Msg (PHINVS@cdc.gov),2010-08-13
https://phinvads.cdc.gov/baseStu3/ValueSet/2.16.840.1.114222.4.11.800,2.16.840.1.114222.4.11.800,PHVS_AbnormalFlag_HL7_2x,Abnormal Flag (HL7),CDC PHIN Vocab and Msg (PHINVS@cdc.gov),2008-10-22
